> ⛔ **2026-09-13 重驗後仍不可用。**
> 收割期實驗的逐列資料；舊資料集年代 => 作廢。
> 現行權威：`../研究總覽_v2.md`。

date,run,block,psnr,ssim,lpips
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,5,22.699052810668945,0.6733613610267639,0.6199564933776855
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,6,23.002492904663086,0.6264863014221191,0.6653455495834351
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,7,20.843055725097656,0.6213719248771667,0.45581305027008057
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,8,20.119295120239258,0.5865488648414612,0.5553473234176636
2026-05-14,ADMM_RTG_mc_aerial_sh2_trim,9,26.20383071899414,0.8478954434394836,0.30038005113601685
2026-05-15,ADMM_RTG_mc_aerial_sh2_trim,,,,
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,0,27.40070152282715,0.7253822684288025,0.5706407427787781
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,1,26.036052703857422,0.7319069504737854,0.5553962588310242
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,10,22.752727508544922,0.6640998125076294,0.6383780837059021
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,11,21.71482276916504,0.6241857409477234,0.6199819445610046
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,12,22.859905242919922,0.6314195394515991,0.5947065353393555
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,13,22.325660705566406,0.6227565407752991,0.5630111694335938
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,14,20.339065551757812,0.5935023427009583,0.6296696066856384
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,15,29.170848846435547,0.8106809258460999,0.3558146357536316
2026-05-21,ADMM_v2_RTG_mc_aerial_sh2_trim,16,23.774139404296875,0.6763656139373779,0.49738994240760803
